"ಒಗ್ಗಿ ಬಲ್ಲ್‌ನ್ ಜೋರುದ ಪೆತ್ತ ಬೊಕ್ಕ ಬೋರ್ಲೆನ್ ಒಲಮೆಗ್ ಕಟ್ಟುನಗ ಬೊಕ್ಕ ಓಡೆಲ ಪತ್ತೊಂದು ಪೋನಗ ಪಾಡುವೆರ್. ಕಂಬುಲದ ಎರ್ಲೆಗ್ ಒಗ್ಗಿ ಪಾಡ್ದ್ ಕೆಸರ್ದ ಕಂಡೊಡು ಗಿಡಪುವೆರ್.ಪುರಿ ಬಲ್ಲ್‌ಡ್ ಉದ್ದೊದ ತೋರದ ಮಣಿಪುದ ಬಲ್ಲ್ ಮಲ್ತ್‌ದ್ ಒಗ್ಗಿ ಬಲ್ಲ್ ತಯಾರ್ ಮಲ್ಪುವೆರ್.
#KooInTulu
#ನಮ್ಮ_ಸೊತ್ತು ",uninvolved
Nama nama edde podya,uninvolved
Over acting manju,blended hope
Arvindanna DSP black erna branda,blended hope
ಇಂಬ್ಯಾನ ಪುಕುಲಿ ವಿಜಯ ಮಲ್ಯ ಡ ಇಪ್ಪಾಂದ್ 😂😂😂,uninvolved
Om namah shivya namaha 🙏🙏🙏🙏,uninvolved
@abhijeetmulya4797  ya bro....film thinkd  ...,uninvolved
CK Annan thunaga 35years back Manglore bus conductor thuilekka aand.akul enchane jagala malthondither.,blended hope
Full nataka upload plzz,encouraging hope
suaprrr mata ellada story undu,discouraging hope
Yenna fav song.....,discouraging hope
Lv u dhodda,encouraging hope
Ayyo papa santhu yerye... Ayena onji mone thojpale... Shut up Santhu🤭🤭,uninvolved
super ajji acting wwaaw masth yedde undu,encouraging hope
Santhu face reveal malpule,uninvolved
"Top dailog nama UB dakul..,️️",blended hope
CK Sir na kannd line haakuna samase baari comedy apundu life is jingalala,encouraging hope
Jus love this ajji.. Appe ath ninna amme teacher hahaha..,encouraging hope
ತೆಲಿತ್ ತೆಲಿತ್ ಬಂಜಿಬೇನೆ,discouraging hope
Nagara palikeg bambu diyar,uninvolved
Ajay noteje collab panper etinda panle 😂,uninvolved
"ಕೊಡಿಕಲ್‌ಡ್ ಮುಗಿತಲ ಲೇಸ್

#BaleTuluLipiKalpuga #BTLK #kodical #Kudla #TuluScript #TuluLipi #TuluBaravu #TuluBarahu #JaiTulunad #TuluAcademy ",uninvolved
Y   clna bhagavather oler yaksha rasa suru malthnek thanks sir,encouraging hope
In tulunadu pukuli means gand 😅😅,uninvolved
Pukuli maaya aanda maare😂shek,uninvolved
"RT @AIRMangalore: ಪೊಸ ತುಳು ಕಾರ್ಯಕ್ರಮ 'ದುನಿಪು' ಇನಿ‌ ಬಯ್ಯ 06:30 ಗಂಟೆಗ್ ಪ್ರಸಾರ ಆಯೆರೆಗುಂಡು. ಕೇನ್ರೆ ಮದಪಡೆ.
@LPaldane",uninvolved
"shivanna, Vijayanna,naklena judgement super.majabharathadla eeth edde judgement ijji.",blended hope
Mast samaryd boka..benner batter,uninvolved
Chndra onji ಉಪಗ್ರಹ  atla gothijji yebeeee,uninvolved
Daye panda ath telitha..,uninvolved
ಬಾರಿ ಷೋಕು ಆತ್ಂಡ್,encouraging hope
Pukuli da pic send manpu.ollandla etthnda panppe,uninvolved
100k 1 kg kukku. pls 🙏,uninvolved
Nikleg Marla ??? Male padunala tamashena ??? Marler,blended hope
ನಿಜ ಈರ್ ಪಂಡಿನ ಪಾತೆರ,uninvolved
waste of time..onji yadde movie manpule plss..tulu movie improve manpule..,blended hope
2ಎಕರೆ full movie paadle,uninvolved
Indu sauda comedy,discouraging hope
Baari kusal baari kusal.. Outstanding acting and smooth dilogue delivery over all good,encouraging hope
ದಯೆದೀದ್ ಇಂಬ್ಬೇನ ಪುಕುಲಿ ತಿಕ್ಕಿನಕುಲು ಆಯಿನಾತ್ ಬೇಗಡ್ ಕೊರೋಡು ಪಂಡದ್ ವಿನಂತಿ...🙏🙏🙏😂 #justice_for_ಪುಕುಲಿ 😂,uninvolved
Rahulere yeth xerox dethud deethar,uninvolved
"Mast comedy Undu, Walter sir acting porlu.",encouraging hope
Areg ticktok account unda?,uninvolved
Swami koragajja please save me APPA ajja nimne nambidini,encouraging hope
ಅಂದ್ ನಿಜಲ ಸೌಂಡ್ ಇತ್ತ್ಜಿ...  ಇತ್ತೆ ಸೂಪರ್..  ಯಾನ್ ವಿಡಿಯೋ ತೂವೊಂದಿತ್ತ್ಜಿ ಇತ್ತೆ ತೂಪೆ,blended hope
Erna wife super cutemade for each other,encouraging hope
Pls yenk santhun mone thuvadu,uninvolved
ಎಡ್ದೆ ಅತನ್ಡ್ ನಂಬಿನಗ್ಲೆನ್ ಅಜ್ಜ ಏಪೊಗ್ಲ ಕೈ ಬುಡ್ಪುಜೆರ್,encouraging hope
Onji like korle maare,uninvolved
Camera quality wahhh n aravind guru your acting amazing️,encouraging hope
100 % entertainment.. flop film bathndala nana mande becha ijji.. eerna vediod fun garentee,encouraging hope
Black money barad 2 warsa podu 8 year aand niklu maltina karma vote pad d,blended hope
Yenchina mukkuvar marrr,blended hope
Suraaj shetr eer manjeswaradaara wow yanla alpadaale sir er yenk masth esta sir,encouraging hope
Bolar sppr bt aye amme pardinaaye borchi,blended hope
"ಒಂಜಿ ಮುಡಿ ಪಂಡ ಮೂಜಿ ಕಲಸೆ ಅರಿ. ಮುಡಿ ಕಟ್ಯೆರ ಬೈತ್ತ ಬಲ್ಲ್, ಕಲ್ಲೆದ ಬಲ್ಲ್ ಬೊಕ್ಕ ಕೊದಂಟಿ ಬೋಡಾಪುಂಡು.  ಅರಿನ್ ಹಾಲಾವಂದಿಲೆಕ್ಕ ದೆತ್ತ್‌ದೀಯೆರ ಮುಡಿ ಕಟ್ಟ್‌ದ್ ಕುತ್ತಟ್ಟಡ್ ದೀಪೆರ್.
#KooInTulu
#ನಮ್ಮ_ಸೊತ್ತು ",uninvolved
Erna pukuli... morning etunda🤔🤔,uninvolved
fans nakl    daaye eeth bodipaapar sir?????,discouraging hope
Undu video toodu Hanaa juice dakulu limbu bud du itte sweet beer malder maare,blended hope
Swipe eji ulayi onji maipu undu ava punch,uninvolved
Mast shok aathnd,encouraging hope
Ha.itha.enna hubby gh transfer  job ancha.ithe m.p dh ulla.,uninvolved
"""Nana 4 karadi nakulu yoga malpuyer, 3 nikulu, 1 yaan""",uninvolved
ಬಗೆಟ್ಲ ಒಂತೆ ಎನ್ನೊಡಾಪುಂಡು.,blended hope
Tulu film pura sokudaye panda namma tulu nadu,encouraging hope
Daneye nanala video baiji..6 karind,blended hope
100% entertaining package... ಕೆಲವು ಕಡೆಟ್ ಲಿಪ್ ಸಿಂಕಿಂಗ್ ಒಂಜಿ ಬುಡುಂಡ ಬಾಕಿ ಪೂರಲ suuuuuper....,blended hope
Alpa onji batti kallu divonle dakkara,uninvolved
"""Brother Dane Erna mone  d josh ejji borr  apundu bro",uninvolved
Yencha comments padunu pandh,uninvolved
"ಅಜಕೊಲು ಪಂಡ ಕುಂಟು ಅಜಿಡಿಯರ ಬೊಡಾದ್ ಮಾಂತಿನ ಮರತ್ತ ಸೊತ್ತು. ಅಜಿ ಪಂಡ ಉಲುಂಗುನ ಪಂದ್ ಅರ್ಥ. ಪಕ್ಕಸ್ಗ್ ಅಕುಡುನಂಚಿನಲ ಅಜಕೊಲು ಇಪ್ಪುಂಡು. ಉಂದೆನ್ ಉಲ್ಂಗ್‌ನ ಕುಂಟು ಪಾಡಿಯರೆ ಬೊಕ್ಕ ಕುಂಟುನ್ ನೇಲ್ಪಾಯೆರೆ ಗಲಸುವೆರ್.

#KooInTulu
#TuluvaAntiques ",uninvolved
ಎಂಚಿನ ಅವಸ್ಥೆ ಮರ್ರೆ ಒಂಜಿ ಪೊನ್ನು  ಕಮೆಂಟ್ ಮನ್ಪೆರೆ ಗೊತ್ತಿಜ್ಜಿ 🤣🤣🤣,uninvolved
Pank hegden days kullavar judgement tulu bhasheda maryedi deppuver,discouraging hope
ee enchina telipunu saav shanti S,discouraging hope
ಫುಂಡಿ ಇಸ್ ಬ್ಯಾಕ್...,uninvolved
Advertisement jasti uppunu,discouraging hope
"""@16:00,d  daane ' teeeee' use maldijar..""",uninvolved
Supper mare Aravind bolar,encouraging hope
Starting dialogue neera bave na,uninvolved
Black bathenda  ath blank anda,uninvolved
Arpith anna gadda dayegye dethini???!!!😮,uninvolved
Undu yeerna poppana kule marre,blended hope
ajja mathernla rakshane malpule all tha best team ️,encouraging hope
Aalonji heroin chi...,discouraging hope
Santhu na vara reveal malpule 😂😂,uninvolved
Erna comedy yavuji Umesh Anna nanala bodu .....,discouraging hope
Kannada comedy rdh thulu comedy super I like it so much vijji mk dml,encouraging hope
judges aath sok aathnd pannave malle.  Namma e tulunad comedy pream lege d,blended hope
Super comedy Marayare,encouraging hope
Bro full movie padle,discouraging hope
Super anna inchina video nanala malpule,encouraging hope
Please full movie padle,encouraging hope
film da pudar panle,uninvolved
Bvc Song marre,discouraging hope
1st pukuli Maya,uninvolved
ajji cute uller ajji,encouraging hope
"ಪಾವೂರುದ ಹೋಲಿ ಕ್ರಾಸ್ ಚರ್ಚ್‌(ಇಗರ್ಜಿ)ಡ್ ಕರಿನ 100ವರ್ಷರ್ದ್ ಪೂಜೆ, ಪ್ರಾರ್ಥನೆ ಮಾತಾ ತುಳು ಭಾಷೆಡೆ ನಡತೊಂದು ಉಂಡು. ಇಂಚ ತುಳು ಭಾಷೆಡ್ ಪೂಜೆ ನಡಪುನ ಒಂಜೇ ಇಗರ್ಜಿ ಉಂದು ಪನ್ಪಿ ಪುದರ್ ಈ ಇಗರ್ಜಿಗ್ ಉಂಡು.
#KooInTulu
#ನಮ್ಮ_ಊರು ",uninvolved
Koragajjana katnika n thojipayinik masth tnx,encouraging hope
Thulu bhashen oripayereg kashta barpina nikleg musth dhanyadalu.,encouraging hope
ajjjina wa jollly,encouraging hope
Trailer bari edde undu....,encouraging hope
"""thank u,,, ಈರ್ ದೂರ ನಾಟಕ old audio upload madi plz.....""",uninvolved
I like heroine voice anda enchi savuda tulu mare,blended hope
Y   china dialogue maare....,blended hope
super mare.....harini kalavidher solmelu,encouraging hope
Audio days marre madee sari ijja,discouraging hope
Yogishna lyrics Erna direction super combination.,encouraging hope
Anul matra yenek ponnul g la artha apund,uninvolved
Dala yedde athiji anna,discouraging hope
Av gulabi na unde atha . Ir jamunana unde pandar,blended hope
Super song anna,encouraging hope
"Aytla madimeg Aann lu pidhaduna...😂😂😂""",uninvolved
yenchina comedy marre Super oriyad ori asal,encouraging hope
"""Nama poora serdu santhu gu kujal bithane malpare fund ootu malpuga",uninvolved
Yan yenna nepali friend da meaning kende...aleg already tulu meaning la gothithnd,uninvolved
Swamy koragajja kapule...,encouraging hope
"ಜೈ ತುಲುನಾಡ್ (ರಿ) ಕುಡ್ಲ ಎಗ್ಗೆ
ಯುವವಾಹಿನಿ (ರಿ) ಬಜ್ಪೆ ಎಗ್ಗೆ
ಒಟ್ಟು ಸೇರಿಗೆಡ್
 🌱ಬಲೆ ದೈ ನಡ್ಕ🌱
ತೇದಿ : 16/06/2024 ಐತಾರ
ಪೊರ್ತು : 10:00 ಗಂಟೆ
ಜಾಗೆ : ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರ ಬಜ್ಪೆ
ಜಾಗೆ : ಶ್ರೀ ಕ್ಷೇತ್ರ ದೊಡ್ಡಿಕಟ್ಟ ಸ್ವಯಂಭೂಲಿಂಗೇಶ್ವರ ದೇವಲ್ಯೊ
ಮಾತೆರೆನ್ಲ ಮೋಕೆಡ್ ಎದುಕೊನುವ
ಜೈ ತುಲುನಾಡ್ (ರಿ) ಕುಡ್ಲ ಎಗ್ಗೆ ",uninvolved
Aremarler move padle plzz tulu ttu plzz padle 🙏,blended hope
Pls continue malpule next part its wonderful plssss,encouraging hope
"""God..that chapa chapa sound when you eat... 🤮",discouraging hope
Wa telikedhabolli aravindh bolar was wa comedy,discouraging hope
"""""cake ullai dile..."""" 😂😂😂😂""",uninvolved
maskiri kudla season 7 final da episode padle please,encouraging hope
Dinesh Anne olpa ethndala pili ye,encouraging hope
"ಕಲಸೆ ಅರಿ, ಬಾರ್ ಲಪ್ಪುನ ಮರತ್ತ ಸೊತ್ತು. ಸಾಗೋಲಿದ ಇಲ್ಲಡ್ ತೂವರೆ ತಿಕ್ಕುಂಡು.

1 ಕಲಸೆ ಪಂಡ 14 ಸೇರ್.
3 ಕಲಸೆ ಪಂಡ 1 ಮುಡಿ ಅರಿ.
4 ಕಲಸೆ ಬಾರ್ಗ್‌ 1 ಮುಡಿ ಬಿತ್ತ್ ಪಂದ್ ಪನ್ಪೆರ್.

#KooInTulu ",uninvolved
ಈರ್ ದಾನೆ ಮೂಲು?,blended hope
   cha porlandu undiya,encouraging hope
Obeana pukuli song bainkera hit,encouraging hope
Tuluvalenkulu Edde vundu maraiara.,encouraging hope
"ಚಟ್ಟಂಬಡೆ ತುಳುವೆರೆನ ಬಯ್ಯದ ಪೊರ್ತುದ ಚಾತ್ತ ಇಷ್ಟದ ತಿಂಡಿಲೆಡ್ ಒಂಜಿ. 
#ನಮ್ಮ_ತೆನಸ್
#KooInTulu ",uninvolved
Santu 😂 eir santugu tojale Anna😂😂,uninvolved
2 nd pu da pandijar,uninvolved
Anchor n onji change malple,discouraging hope
"ithe kuda tuka pannaga ynk la ardha bardha seen thikodndu🤣 sry""",uninvolved
all act super Chitragupta act extra super,encouraging hope
Full movie paadle athe,discouraging hope
Nana next song... Poonki baayko,uninvolved
"ತುಳು ಬಾಸೆನ್ ಅಧಿಕೃತ ಮಲ್ಪುನ ವಿಚಾರೊಡು ತುಳು ಭವನಡ್ ನಡತಿನ ಕೂಡುಪಟ್ಟಾಂಗೊಡು ಜೈ ತುಲುನಾಡ್ (ರಿ.) ಕೂಟದ ಗುರ್ಕಾರ್ಲು ವಿಶು ಶ್ರೀಕೇರ 
#JaiTulunad #Tulu #Tulunad #TuluBhavana #TuluAcademy #TuluOfficialinKA_KL #TuluTo8thSchedule #VishuShrikera ",uninvolved
"""PUKULI MAYA Lyrics",uninvolved
full movie upload malpule plzz,encouraging hope
"ಅಡ್ಯರ ನುಪ್ಪು ಕಬಿಡಿಯೆರೆ ಇಪ್ಪುನ ಒಂಜಿ ಬಾಜನ. ಮಣ್ಣ್, ಅಲ್ಯೂಮಿನಿಯಂ, ಸ್ಟೀಲ್, ಪಿತ್ತಾಲೆಡ್ ಉಂದೆನ್ ಮಲ್ಪುವೆರ್. ಗಂಜಿ ದೆತ್ತ್ ದೀಯೆರ,ನುಪ್ಪು ಕಬಿಡಿಯೆರ ಬೊಕ್ಕ ನೀರ್ ದಿಂಜದ್‌ದೀಯೆರ ನೆನ್ ಗಲಸುವೆರ್.

#ನಮ್ಮ_ಸೊತ್ತು
#KooInTulu ",uninvolved
masth cute uller wife,discouraging hope
Wonderfull story. Masth Yedde athend,encouraging hope
ಮಸ್ತ್ ಕಾಮಿಡಿ ಇತ್ತುಂಡು ತೆಲ್ತ್ ತೆಲ್ತ್ ಸಾಕಾಂಡ್,encouraging hope
"ಒಂಜಿ ಸರ್ತಿ ಬ್ರಿಟಿಷೆರೆಗ್ ಈ ಇಸಯ ಗೊತ್ತಾದ್ ಮೊಕ್ಲೆನ್ ನಾಡೊಂದು ದೇವಲ್ಯೊಗು ಬತ್ತಿತ್ತೆರ್‌ಗೆ. ಪಣಿಯಾಡಿದಾರ್ ಬೊಕ್ಕ ತಿಂಗಳಾಯೆರ್ ತಪ್ಪಾವೊನ್ರ ಬೋಡಾದ್ ಅಚ್ಚಿದಮನೆನ್ ದೇವಲ್ಯೊದ ಗರ್ಭಗುಡಿಟ್ ದೆಂಗಾದ್ ದೀದಿತ್ತೆರ್‌ಗೆ.
#ನಮ್ಮ_ಊರು
#KooInTulu ",uninvolved
Kudla dakle jasti views malpainandh e video n,uninvolved
"RT @Mahimulki: ತುಳುವೆರ್ ಬಂಟೆರೆ ಭವನ, ಬಿರುವೆರೆ ಭವನ, ಮೊಗವೀರ ಭವನ, ಕುಲಾಲ ಭವನ ಇಂಚಿನ ಮಾತಾ ಕಟ್ಟುನ ಪಗತೆಗ್ ತುಳುವೆರೆ ಭವನ ಕಟ್ಟ್‌ದಿತ್ತೆರ್ಡ ಇನಿಕ್ ತುಳುಕು…",uninvolved
Ippad.. av malayalam.. undu tulut..,uninvolved
Correct pandar bro... 100% enk experience aatnd.. Pin to pin maata correct,encouraging hope
Thanks prasamsha.masth dinot kathond ethe,encouraging hope
Super undu anda laugh tracks borchithnd🙏,blended hope
Yaan la perdoor daaye,uninvolved
"Mananiya rajya basè-samskruti bokka indhana mantrile @karkalasunil, Advocate a state bill, on extending Karnataka official language act 1963 and 1981. Tulunad has efficient lawyers and law experts who can help with you on this. 
#TuluOfficialinKA_KL 
#OfficialLanguageAct2021 ",uninvolved
comedy piece hero,discouraging hope
"ಅತ್ತಾ ಅಂದಾ ನಿಕುಲು ದಾದ ಪನ್ಪರ್.😊""",uninvolved
Doctor g demand eppand,discouraging hope
Cooku La gonku la... Eeer undar appe😂,uninvolved
Nellu team bale thelipaleg yepa barper akul kuda barodu please please,encouraging hope
ಅರೆಗ್ ಎಂಡ ದಾನೆ ಪತೊಂದಿನ ಆತು😁😁👌😂,blended hope
chandi kori super film,encouraging hope
wow super se bhi upper undu padta,encouraging hope
🕉amma kapule amma🙏🏻🙏🏻🙏🏻🎉🎉🎉,uninvolved
Avu chappe neer ath akka chavli neer,uninvolved
"“World Tulu Script Day - ಇಸ್ವ ತುಲು ಬರವು ದಿನೊ“ with @tuluvekiran, Uday Poonja, Sudarshan Surathkal. Today at 8:00 PM on @clubhouse! ",uninvolved
Erna kai bukka tare matra tojune,uninvolved
Sprjai billavass jai tulunad Aravind bolar sir bojaraj sir prashamsa,uninvolved
Super Rajyeshe anna,encouraging hope
Ajji yedde acting,encouraging hope
Apple laptop haa😁😁. Santhu na Moone tojepale Churu😂. Tarak Mehta ka ooltah chenshma Da music,uninvolved
Imbena pukuli epa mare maya aeni  🤭🤭🤣🤣🤣,uninvolved
ಎಂಚಿನ ಅವಸ್ಥೆ  ಮಾರ್ರೆ...,blended hope
Good one! Nama yepala steady....keep going MIK!,blended hope
Apple baidhnd onthe chillare aandaand😁😁,uninvolved
"""ಓ...ಅಣ್ಣಾ..ಈರೆನ ಪುಕುಲಿ ನನಲ ತಿಕ್ಕಿಜ..",uninvolved
"Pett kandabett aand, pettist bixuker.",blended hope
Yenchi karma marre,discouraging hope
Dani anna clean shave??? Pantine eje,uninvolved
"ಪತ್ತನಾಜೆದ ಬಗ್ಗೆ ಗೊತ್ತುಂಡೇ?
#ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ?
#KooInTulu ",uninvolved
Arena golibaje uncalna bonda daytha rakshitha 😂😂😂,uninvolved
Mast shoku aatundu madimal super aater umesh erena acting soooooooooooooooper,encouraging hope
ಗುವೆಳುಗು ಲಾಗಿವೇ 1 ಸಾರಿ ಗುವೆಲೂಗು ಲಾಗಿವೆ 2 ಸಾರಿ ಗೂವೆಲೂಗ ಲಾಗಿವೆ 3 ಸಾರಿ,uninvolved
ಆದಿ ಕಾಲೊಡ್ ಇರೆನಾ ಡ್ರೆಸ್ ಯೆಂಚ್ಚ ಇತ್ತ್ಂಡ್😄,uninvolved
Daye marre first view first comment pandh gobe paduvar 😂😂,uninvolved
"Name Board In Tulu Script
ತುಲು ಲಿಪಿತ ಪುದರ್‌ಪಲವೆ

#TuluScriptNameBoard #TuluLipi #TuluScript #TuluBaravu #TuluBarahu #Porkodi ",uninvolved
beer ye beer :P :P,uninvolved
Olu nadodu maraya ninna pukulin,uninvolved
Behind the scenes padle,uninvolved
E nataka da video ithnnda paadle mare....,uninvolved
niklnet     movie unde,uninvolved
Pukuli da badal,uninvolved
Yenna maryade yane deppuna panda undena🤫😁,uninvolved
Bari porluda massage deeraj rai nice,encouraging hope
yena elade enchina binner barpune ejji😥😥,uninvolved
Chaitra eer na abimani,encouraging hope
Tulu padya yedde,discouraging hope
Kudlada power thule ayegla gothand aitha artha,encouraging hope
Puragla all the best,encouraging hope
Pura copy past comedy.,discouraging hope
"ಜೈ ತುಲುನಾಡ್ (ರಿ.) ಕೂಟೊದ 7ನೇ ವರ್ಸೊಚ್ಚಯೊ

#JaiTulunad ",uninvolved
ಲೈವಾದ್ ಮಗೆನ ಲವ್ ಸೀನ್ ತೂಯೆರೆ ಸೌಭಾಗ್ಯ ತಿಕ್ಕಿನಾರ್...,blended hope
Ninnala pukuli Maya athnda 😂😂,uninvolved
ಸೂಪರ್ ️️ ಜೈ ತುಳುನಾಡು,encouraging hope
"Santhu: OK, 13 days bokka pundi-kori-meen ghasi thinka.",uninvolved
ajjii ya yanu yanu iren love maltondulle i love you,encouraging hope
Awesome song yan unden yet sati kende pandu iji...... I LOVED IT,encouraging hope
Masth yedde athund sundeepere 5oo fine da au spr,encouraging hope
Nigla chur manasika athe,blended hope
ಓ ರಾಮಕುಂಜ ತೆಲಿಪಾದ್ ತೆಲಿಪಾದ್ ಜನಕ್ಲೆನ್ ಕೆರ್ಪಾರ,discouraging hope
Undu Yenchina punk comidya,discouraging hope
Yenchi saavda comedy karma,blended hope
Kapikad over act,blended hope
Awesome aathnd bro,encouraging hope
Super athnd yogishannana spr athnd all the best team,encouraging hope
Bro ireg frds kammi ande Athe..,blended hope
deepak raikl   a GARBHA PAATRA paadyara daaye eeth late maltondullar?,blended hope
Baayma baari Jorundye,discouraging hope
Yerdla 2 extra pukuli ethnda embeg  onji korle,uninvolved
mukleg copy right manthdh video padndalla monetize athnd,uninvolved
"Sorry bro ninna pukuli nardh koreg ayiji"", 'Pukuli 2 is coming soon",uninvolved
Please bete audio ettunda upload malpi..,uninvolved
super undu comedy.... Masth super expression undu 2 janatala,encouraging hope
Nana budodu marre  eni last,uninvolved
Santhu face reveal malpule pls,uninvolved
Super ajji !,encouraging hope
Santhu nora tojpale arpith,uninvolved
"1930 -31ನೇ ಇಸವಿಡ್ ಗಾಂಧಿಜಿ ಲೆಪ್ಪು ಕೊರ್ನ ""ಉಪ್ಪುದ ಸತ್ಯಾಗ್ರಹ "" ಗ್ ಬೆಂಬಲ ಕೊರ್ದ್ ಕುಡ್ಲದ ಪಣಂಬೂರುಡ್ ಬೊಕ್ಕ ಒಡಿಪುದ ಮಲ್ಪೆಡ್ 40ಸಾರ ಜನಕುಲು ಒಟ್ಟು ಸೇರ್ದ್ ಉಪ್ಪು ತಯಾರಿ ಮಲ್ತುದು ಬ್ರಿಟಿಷೆರ್ನ ಕಾನೂನು ಪೊಲಿತುದು ಇತ್ತೆರ್.
#ತನ್ನಾಲ್ಮೆ_ದಿನೊ
#IndependenceDay ",uninvolved
Msth supr athnd,encouraging hope
yechina marre bnjara telipayar,encouraging hope
yenchi savda pukuli marre,discouraging hope
Enna lekkad kullugana...,uninvolved
Sokuda film super undu,encouraging hope
",deepakeren thondane telke barpund. Superrrrr",encouraging hope
"ತಾರಿದೊಲಿಟ್ ಒಲಿ ಪರಿಯಂದಿಲೆಕ  ಬರೆಯೆರ ಆಪುನಂಚಿನ ಬರವು ನಮ್ಮ ತುಲು ಬರವು.
#TuluScript
#ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ? ",uninvolved
Ponnulunett sarane malthinakulu uller e comedida video unda,blended hope
Full natka etnda padle,uninvolved
"""Nama, nama ippode atha😂""",uninvolved
ಪುಕುಳಿ ಮಾತ್ರ ಮಾಯ ಆತಿನತ..ಪೊತ್ತೆಲ್ ಉಂಡತಾ😂😂,uninvolved
ಸಂತು ಇಜಂದೆ ಬಜಿ ಬೋರ್  ಅತಂಡ್ ವಿಡಿಯೋ.....,uninvolved
"ತುಲು ಲಿಪಿ ಕಲ್ಪಾವುನ ಕಜ್ಜಕೊಟ್ಯದ ಉದಿಪನ ಲೇಸ್

#TuluScriptLearningClass  #TuluBarahu #Tuluscript  #TuluBaravu #TuluLipi #Bantwala #JaiTulunad #KarnatakaTuluSahithyaAcademy ",uninvolved
Telikeda bolli kapikad sir,encouraging hope
Yeth gnateg und program,uninvolved
"ತುಲುನಾಡ‌ ಐತಿಹಾಸಿಕ ರಾಜಧಾನಿ ಬಾರಕೂರುಡು

#Tulunad #Tulu #JaiTulunad #TuluOfficialinKA_KL #barkur #Barakoor #CapitalOfTulunad #Brahmavara ",uninvolved
Tulu comedy video thule,encouraging hope
Cpl yede apudu  bale thelepale yede apuije ethe,blended hope
"ಇಂಗ್ಲಿಷ್ ಬೊಕ್ಕ ಜರ್ಮನ್ ಬಾಸೆಡಿತ್ತಿನ  ಪದ್ಯೊಲೆನ್ ಜೆ. ಅಮ್ಮನ್ 1840 ಡೇ ತುಳುಕ್ ತರ್ಜುಮೆ ಮಲ್ತ್‌ದೆರ್
#ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ?
#KooInTulu ",uninvolved
bari yeddey show Serial continue malpuley plz,encouraging hope
Super sir baghavat ke,encouraging hope
ನಮ್ಮ ತುಳು ನಾಟಕ ರಂಗದ ಇ ಪ್ರಯತ್ನ ಸೂಪರ್,encouraging hope
Bale thelipale super program,encouraging hope
